boundary_id	role	data_class	path	contract
source.raw.structured_table	source_type	raw_evidence	crates/specforge/src/ir/source.rs#StructuredTableRecord	aggregate_input
source.raw.structured_cell	source_type	raw_evidence	crates/specforge/src/ir/source.rs#StructuredTableCellRecord	aggregate_input
source.raw.content_element	source_type	raw_evidence	crates/specforge/src/ir/source.rs#ContentElementRecord	aggregate_input
source.raw.content_section	source_type	raw_evidence	crates/specforge/src/ir/source.rs#ContentSectionRecord	aggregate_input
source.raw.visual_asset	source_type	raw_evidence	crates/specforge/src/ir/source.rs#VisualAsset	aggregate_input
source.raw.section_anchor	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#SectionAnchor	aggregate_input
source.raw.visual_evidence	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#VisualEvidenceItem	aggregate_input
source.raw.visual_observation	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#VisualObservation	aggregate_input
source.raw.extracted_statement	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#ExtractedStatement	aggregate_input
source.raw.semantic_hint	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#SignalSemanticHintRecord	aggregate_input
source.raw.semantic_conflict_observation	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#SignalSemanticConflictObservationRecord	aggregate_input
source.raw.markdown_heading	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#MarkdownHeading	aggregate_input
source.raw.markdown_block	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#MarkdownBlock	aggregate_input
source.raw.parsed_markdown	source_type	raw_evidence	crates/specforge/src/ir/evidence.rs#ParsedMarkdown	aggregate_input
source.raw.source_tables	source_field	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::structured_tables	field_projection
source.raw.source_elements	source_field	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::content_elements	field_projection
source.raw.source_sections	source_field	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::document_sections	field_projection
source.raw.source_visuals	source_field	raw_evidence	crates/specforge/src/ir/source.rs#SourceIr::visual_assets	field_projection
source.raw.evidence_statements	source_field	raw_evidence	crates/specforge/src/ir/evidence.rs#EvidenceIr::extracted_statements	field_projection
source.raw.evidence_visuals	source_field	raw_evidence	crates/specforge/src/ir/evidence.rs#EvidenceIr::visual_evidence	field_projection
source.raw.evidence_hints	source_field	raw_evidence	crates/specforge/src/ir/evidence.rs#EvidenceIr::signal_semantic_hints	field_projection
source.identity.source_registration	source_type	document_identity	crates/specforge/src/ir/source.rs#SourceRegistration	aggregate_input
source.identity.source_field	source_field	document_identity	crates/specforge/src/ir/source.rs#SourceIr::source	field_projection
source.identity.source_document_field	source_field	document_identity	crates/specforge/src/ir/source.rs#SourceIr::document_identity	field_projection
source.identity.evidence_document_field	source_field	document_identity	crates/specforge/src/ir/evidence.rs#EvidenceIr::document_identity	field_projection
source.identity.semantic_document_field	source_field	document_identity	crates/specforge/src/ir/semantic.rs#SemanticIr::document_identity	field_projection
source.identity.intent_document_field	source_field	document_identity	crates/specforge/src/ir/intent.rs#IntentIr::document_identity	field_projection
source.identity.adapter_document_field	source_field	document_identity	crates/specforge/src/ir/adapters.rs#AdapterArtifact::document_identity	field_projection
source.proposal.corpus_memory	source_type	grounded_proposal	crates/specforge/src/ir/prior_memory.rs#CorpusMemory	aggregate_input
source.proposal.text_provider	source_return	grounded_proposal	crates/specforge/src/commands/llm_text.rs#call_text_provider	return_value
source.proposal.image_provider	source_return	grounded_proposal	crates/specforge/src/commands/enrich.rs#vlm_image_query	return_value
source.identity.source_document	source_type	document_identity	crates/specforge/src/ir/source.rs#DocumentIdentity	aggregate_input
source.identity.evidence_document	source_type	document_identity	crates/specforge/src/ir/evidence.rs#EvidenceDocumentIdentity	aggregate_input
source.identity.semantic_document	source_type	document_identity	crates/specforge/src/ir/semantic.rs#SemanticDocumentIdentity	aggregate_input
source.identity.intent_document	source_type	document_identity	crates/specforge/src/ir/intent.rs#IntentDocumentIdentity	aggregate_input
source.identity.opaque_document	source_type	document_identity	crates/specforge/src/ir/derivation.rs#OpaqueDocumentIdentity	aggregate_input
source.identity.opaque_symbol	source_type	symbol_identity	crates/specforge/src/ir/derivation.rs#OpaqueSymbol	aggregate_input
source.identity.contract_finding_parameter	source_parameter	symbol_identity	crates/specforge/src/ir/cve.rs#count_fail_findings_for	argument:0
source.identity.protocol_channel_parameter	source_parameter	symbol_identity	crates/specforge/src/ir/protocol_graph.rs#ProtocolGraph::channel	argument:1
source.identity.protocol_phase_parameter	source_parameter	symbol_identity	crates/specforge/src/ir/protocol_graph.rs#ProtocolGraph::phase	argument:1
join.rule_roots	derived_join	semantic_control	doctrine/production_genericity/rule_family_inventory.tsv#entrypoints	registered_rule_entrypoints
