family_id	stage	rule_stem	current_producer_entrypoints	current_mutator_entrypoints	premise_kinds	symbol_capability	alpha_obligation	compatibility	target_module	schema_owner	canonical_seams	migration_leaf
source.envelope	source_ir	source.envelope	crates/specforge/src/ir/source.rs#SourceIr::build	-	source_span,universal_axiom	exact_identity_only	identity_graph_invariant	current_only	crate::ir::source	crates/specforge/src/ir/source.rs	crates/specforge/src/ir/source.rs#SourceIr::write_to_disk	6d.ii.e.iv.ii
source.capture	source_ir	source.capture	crates/specforge/src/ir/source.rs#SourceIr::materialize;crates/specforge/src/ir/source/docling_backend.rs#materialize_pdf	-	source_span,table_cell,visual_region	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::source	crates/specforge/src/ir/source.rs	crates/specforge/src/ir/source.rs#SourceIr::write_to_disk	6d.ii.e.iv.ii
source.classification	source_ir	source.classification	crates/specforge/src/ir/source.rs#normalize_timing_table_kinds;crates/specforge/src/commands/enrich.rs#enrich_visual_assets;crates/specforge/src/commands/enrich.rs#repair_degenerate_tables_via_vlm;crates/specforge/src/commands/enrich.rs#classify_unknown_tables_via_vlm	crates/specforge/src/commands/enrich.rs#run	source_span,table_cell,visual_region,grounded_model_proposal	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::source	crates/specforge/src/ir/source.rs	crates/specforge/src/ir/source.rs#SourceIr::write_to_disk	6d.ii.e.iv.ii
source.residual	source_ir	source.residual	crates/specforge/src/ir/source.rs#directory_source_packet;crates/specforge/src/ir/source.rs#unknown_source_packet;crates/specforge/src/ir/source.rs#materialized_source_actions	-	source_span,universal_axiom	residual	residual_topology_invariant	current_only	crate::ir::source	crates/specforge/src/ir/source.rs	crates/specforge/src/ir/source.rs#SourceIr::write_to_disk	6d.ii.e.iv.ii
source.validation	source_ir	source.validation	crates/specforge/src/commands/validate.rs#validate_source_ir	crates/specforge/src/commands/validate.rs#persist_source_validation	upstream_claim	exact_identity_only	identity_graph_invariant	current_only	crate::ir::derivation	crates/specforge/src/ir/source.rs	crates/specforge/src/commands/validate.rs#write_backannotated_artifact	6d.ii.e.iv.ii
evidence.envelope	evidence_ir	evidence.envelope	crates/specforge/src/ir/evidence.rs#EvidenceIr::build_with_prior_memory	-	registered_derivation,source_span,grounded_model_proposal,validated_prior	exact_identity_only	identity_graph_invariant	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.grounding	evidence_ir	evidence.grounding	crates/specforge/src/ir/evidence.rs#build_section_anchors;crates/specforge/src/ir/evidence.rs#assemble_evidence_statements	crates/specforge/src/commands/nlp_enrich.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.register_timing	evidence_ir	evidence.register_timing	crates/specforge/src/ir/evidence.rs#register_record_surface;crates/specforge/src/ir/evidence.rs#synthesize_timing_constraints	crates/specforge/src/commands/recover_register_bits.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.normative	evidence_ir	evidence.normative	crates/specforge/src/ir/evidence.rs#converge_evidence_extractions	crates/specforge/src/ir/evidence.rs#EvidenceIr::dedup_loopback_records;crates/specforge/src/commands/nlp_enrich.rs#run;crates/specforge/src/commands/extract_conditions.rs#run;crates/specforge/src/commands/extract_constraints_llm.rs#promote_constraints	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
evidence.contract	evidence_ir	evidence.contract	crates/specforge/src/commands/extract_contracts.rs#run	crates/specforge/src/commands/extract_contracts.rs#run	registered_derivation,source_span,grounded_model_proposal,validated_prior	grammar_introduces	introduced_symbols_preserve_origins	current_only	crate::ir::evidence	crates/specforge/src/ir/evidence.rs	crates/specforge/src/ir/evidence.rs#EvidenceIr::write_to_disk	6d.ii.e.iv.iii
