target	route_kind	owner	lifecycle	pressure_control	terminal
ROADMAP.md	reader_navigation	roadmap-maintainers	hot_live	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
docs/TASK_TREE.md	reader_navigation	task-tree-maintainers	bounded_collection_index	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
scripts/bootstrap_docling.sh	reader_navigation	runtime-maintainers	executable_reference	review_on_behavior_change	yes
docs/book/src/getting-started.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
docs/book/src/commands/overview.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
docs/book/src/reference/generated-artifacts.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
docs/book/src/architecture-rationale.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
docs/book/src/introduction.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
docs/book/src/SUMMARY.md	reader_navigation	book-maintainers	bounded_collection_index	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
docs/book/src/reference/troubleshooting.md	reader_navigation	book-maintainers	maintained_reference	review_on_behavior_change	yes
AGENTS.md	reader_navigation	bootstrap-maintainers	maintained_entrypoint	review_on_workflow_change	yes
docs/TASK_TREE_README.md	reader_navigation	task-tree-maintainers	maintained_reference	review_on_workflow_change	yes
COMMIT.md	reader_navigation	workflow-maintainers	maintained_reference	review_on_workflow_change	yes
MEMORY_ARCHITECTURE.md	reader_navigation	continuity-maintainers	maintained_standard	review_on_workflow_change	yes
MEMORY.md	reader_navigation	continuity-maintainers	bounded_pointer	scripts/check_memory_architecture.sh	yes
knowledge-map/KNOWLEDGE_MAP_ARCHITECTURE.md	reader_navigation	knowledge-maintainers	maintained_standard	review_on_workflow_change	yes
KNOWLEDGE_MAP.md	reader_navigation	knowledge-maintainers	generated_projection	knowledge-map/scripts/check_knowledge_map.sh	yes
DOCTRINE_ENFORCEMENT.md	reader_navigation	doctrine-maintainers	maintained_standard	review_on_workflow_change	yes
TOOLBOX.md	reader_navigation	doctrine-maintainers	maintained_reference	review_on_tooling_change	yes
README_POLICY.md	reader_navigation	entrypoint-maintainers	maintained_standard	scripts/check_readme_policy.sh	yes
https://github.com/rdje/specforge/issues	reader_navigation	specforge-owner	external_service	github_issue_retention_and_query	yes
docs/book/src/SUMMARY.md	author_overflow	book-maintainers	bounded_collection_index	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
ROADMAP.md	author_overflow	roadmap-maintainers	hot_live	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
docs/tasks/	author_overflow	task-tree-maintainers	partitioned_collection	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
docs/decisions/	author_overflow	decision-maintainers	partitioned_collection	transition_debt:LIVE-DOCUMENT-SIZE-CONTAINMENT-ADOPTION.5	yes
git:history	author_overflow	specforge-owner	append_only_history	query_with_git_log	yes
docs/book/src/reference/troubleshooting.md	author_overflow	book-maintainers	maintained_reference	review_on_behavior_change	yes
TOOLBOX.md	author_overflow	doctrine-maintainers	maintained_reference	review_on_tooling_change	yes
doctrine/readme_entrypoint/routed_destinations.tsv	reader_navigation	entrypoint-maintainers	data_registry	scripts/check_readme_policy.sh	yes
scripts/check_readme_policy.sh	reader_navigation	entrypoint-maintainers	executable_check	scripts/check_doctrines.sh	yes
