family_id	stage	top_level_fields	current_authority	target_proof_class	primary_lane
source.envelope	source_ir	schema_version,stage,source,artifact_layout,document_identity,normalization_plan,downstream_stages,adapter_targets,planned_actions,automation_confidence	operational and provenance metadata	integrity_attestation	e.iii
source.capture	source_ir	page_artifacts,content_elements,document_profile,placeholder_bindings	backend or direct-source capture	capture_axiom	e.iv
source.classification	source_ir	visual_assets,structured_tables,document_sections	embedded and Rust structural classifiers	registered_grammar	e.iv
source.residual	source_ir	residual_decisions	explicit unsupported normalization	residual_derivation	e.iii
source.validation	source_ir	validation_reports	post-build measurement	evaluation_attestation	e.ii
evidence.envelope	evidence_ir	schema_version,stage,source_ir_path,source_path_origin,prior_memory_path,artifact_layout,document_identity	operational and provenance metadata	integrity_attestation	e.iii
evidence.grounding	evidence_ir	section_anchors,evidence_spans,visual_evidence,evidence_links,extracted_statements	structural capture plus statement classification	capture_or_registered_grammar	e.iv
evidence.register_timing	evidence_ir	register_records,timing_constraints	table and statement producers	registered_grammar	e.iv
evidence.normative	evidence_ir	signal_constraints,conditional_rules	deterministic or grounded model extraction	registered_grammar_or_grounded_proposal	e.iv
evidence.contract	evidence_ir	extracted_contracts,constrained_extraction_stats	grounded model proposal and verifier	grounded_proposal_or_evaluation	e.iv
evidence.declaration	evidence_ir	table_signal_declaration_provenance,signal_channel_memberships,signal_presence_records,signal_alias_map	table and prose declaration grammars	registered_grammar	e.iv
evidence.signal_semantics	evidence_ir	signal_polarities,signal_polarity_conflicts,signal_semantic_hints,signal_semantic_conflicts	multi-source grammars and arbitration	registered_grammar_or_inference	e.iv
evidence.actor_graph	evidence_ir	actor_signal_relations	prose and table relation grammars	registered_grammar	e.iv
evidence.protocol_structure	evidence_ir	serial_frame_fields,protocol_states,protocol_actors,protocol_operations,interface_edge_timings	document-structural registries	registered_grammar	e.iv
evidence.message_structure	evidence_ir	message_field_records,message_field_constraints	table grammar plus grounded model constraint	registered_grammar_or_grounded_proposal	e.iv
evidence.quality	evidence_ir	validation_reports,extraction_quality_gauge,convergence_report,fact_provenance,extraction_manifest	measurement and partial producer manifest	evaluation_attestation_or_rule_manifest	e.iii
semantic.envelope	semantic_ir	schema_version,stage,evidence_ir_path,artifact_layout,document_identity	operational and provenance metadata	integrity_attestation	e.iii
semantic.actor_graph	semantic_ir	actors,actor_signal_relations,actor_ports,signal_connectivity,signal_connectivity_conflicts	mixed carry and semantic synthesis	lossless_carry_or_registered_inference	e.iv
semantic.interface_system	semantic_ir	infrastructure_signals,interface_signal_conflicts,interfaces,system_contract	typed evidence synthesis and arbitration	registered_inference	e.iv
semantic.signal_arbitration	semantic_ir	signal_polarities,signal_polarity_conflicts,signal_semantic_conflicts	lossless carry and conflict derivation	lossless_carry_or_registered_inference	e.iv
semantic.statement_lift	semantic_ir	phases,invariants,contracts,gates,assertions,abstractions,decomposition_candidates	legacy and current statement lifting	registered_inference_or_residual	e.iv
semantic.state_control	semantic_ir	regular_states,state_transitions,symbol_definitions,control_blocks,explicit_modules,explicit_tops	structured statement synthesis	registered_inference	e.iv
semantic.transactions	semantic_ir	transaction_anchors,transaction_phases,signal_channel_memberships	section and evidence grouping	registered_inference_or_lossless_carry	e.iv
semantic.carried_evidence	semantic_ir	serial_frame_fields,protocol_operations,protocol_states,interface_edge_timings,register_records	exact EvidenceIR carry	lossless_carry	e.iv
semantic.evidence_projection	semantic_ir	timing_constraints,signal_constraints,conditional_rules	grounded filtering plus typed visual-evidence projection	registered_inference	e.iv
semantic.temporal_contract	semantic_ir	temporal_rules,actor_contracts,constrained_extraction_stats,protocol_graph,fidelity_findings,temporal_conflicts	mixed carry, inference, and verification	lossless_carry_or_registered_inference	e.iv
semantic.residual	semantic_ir	residual_decisions	explicit unsupported or conflicted semantics	residual_derivation	e.iii
semantic.validation	semantic_ir	validation_reports	post-build measurement	evaluation_attestation	e.ii
intent.envelope	intent_ir	schema_version,stage,semantic_ir_path,artifact_layout,document_identity,intent_identity	operational identity and summary metadata	integrity_attestation_or_registered_summary	e.iii
intent.actor_graph	intent_ir	actors,actor_signal_relations,actor_ports,signal_connectivity,infrastructure_signals,interface_signal_conflicts,signal_connectivity_conflicts,signal_polarities,signal_polarity_conflicts,signal_semantic_conflicts,interfaces,system_contract	mixed SemanticIR carry and actor projection	lossless_carry_or_registered_inference	e.iv
intent.carried_semantics	intent_ir	serial_frame_fields,protocol_operations,protocol_states,interface_edge_timings,regular_states,state_transitions,symbol_definitions,control_blocks,explicit_modules,explicit_tops,register_records,timing_constraints,temporal_rules,actor_contracts,constrained_extraction_stats,protocol_graph,fidelity_findings,temporal_conflicts,signal_constraints,conditional_rules	SemanticIR projection	lossless_carry	e.iv
intent.product_summary	intent_ir	behaviors,constraints,assumptions	canonical synthesis from SemanticIR records	registered_inference	e.iv
intent.behavioral_relations	intent_ir	transactions,actor_drive_relations,actor_sample_relations,actor_trigger_relations,actor_temporal_dependencies,temporal_invariants	canonical behavioral synthesis	registered_inference	e.iv
intent.residual	intent_ir	residual_decisions	explicit unsupported or conflicted intent	residual_derivation	e.iii
intent.validation	intent_ir	validation_reports	post-build measurement	evaluation_attestation	e.ii
adapter.envelope	isf_adapter	stage,schema_version,target,required_input_stage,intent_ir_path,artifact_layout,adapter_identity,document_identity	operational and provenance metadata	integrity_attestation	e.iii
adapter.lowering	isf_adapter	lowering_status,isf	typed IntentIR to ISF conversion	registered_lowering	e.iv
adapter.residual	isf_adapter	residual_decisions	explicit unsupported or unsafe lowering	residual_derivation	e.iii
adapter.validation	isf_adapter	validation_reports	post-build measurement	evaluation_attestation	e.ii
